Country name,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Finland,7.842,0.032,7.904,7.78,10.775,0.954,72,0.949,-0.098,0.186
Denmark,7.62,0.035,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179
Switzerland,7.571,0.036,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292
Iceland,7.554,0.059,7.67,7.438,10.878,0.983,73,0.955,0.16,0.673
Netherlands,7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338
Norway,7.392,0.035,7.462,7.323,11.053,0.954,73.3,0.96,0.093,0.27
Sweden,7.363,0.036,7.433,7.293,10.867,0.934,72.7,0.945,0.086,0.237
Luxembourg,7.324,0.037,7.396,7.252,11.647,0.908,72.6,0.907,-0.034,0.386
New Zealand,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242
Austria,7.268,0.036,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481
Australia,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442
Israel,7.157,0.034,7.224,7.09,10.575,0.939,73.503,0.8,0.031,0.753
Germany,7.155,0.04,7.232,7.077,10.873,0.903,72.5,0.875,0.011,0.46
Canada,7.103,0.042,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415
Ireland,7.085,0.04,7.164,7.006,11.342,0.947,72.4,0.879,0.077,0.363
Costa Rica,7.069,0.056,7.179,6.96,9.88,0.891,71.4,0.934,-0.126,0.809
United Kingdom,7.064,0.038,7.138,6.99,10.707,0.934,72.5,0.859,0.233,0.459
Czech Republic,6.965,0.049,7.062,6.868,10.556,0.947,70.807,0.858,-0.208,0.868
United States,6.951,0.049,7.047,6.856,11.023,0.92,68.2,0.837,0.098,0.698
Belgium,6.834,0.034,6.901,6.767,10.823,0.906,72.199,0.783,-0.153,0.646
France,6.69,0.037,6.762,6.618,10.704,0.942,74,0.822,-0.147,0.571
Bahrain,6.647,0.068,6.779,6.514,10.669,0.862,69.495,0.925,0.089,0.722
Malta,6.602,0.044,6.688,6.516,10.674,0.931,72.2,0.927,0.133,0.653
Taiwan,6.584,0.038,6.659,6.51,10.871,0.898,69.6,0.784,-0.07,0.721
United Arab Emirates,6.561,0.039,6.637,6.484,11.085,0.844,67.333,0.932,0.074,0.589
Saudi Arabia,6.494,0.056,6.604,6.384,10.743,0.891,66.603,0.877,-0.149,0.684
Spain,6.491,0.042,6.574,6.408,10.571,0.932,74.7,0.761,-0.081,0.745
Italy,6.483,0.045,6.572,6.395,10.623,0.88,73.8,0.693,-0.084,0.866
Slovenia,6.461,0.043,6.546,6.376,10.529,0.948,71.4,0.949,-0.101,0.806
Guatemala,6.435,0.073,6.577,6.292,9.053,0.813,64.958,0.906,-0.038,0.775
Uruguay,6.431,0.046,6.521,6.341,9.966,0.925,69.1,0.896,-0.092,0.59
Singapore,6.377,0.043,6.46,6.293,11.488,0.915,76.953,0.927,-0.018,0.082
Kosovo,6.372,0.059,6.487,6.257,9.318,0.821,63.813,0.869,0.257,0.917
Slovakia,6.331,0.041,6.411,6.251,10.369,0.936,69.201,0.766,-0.124,0.911
Brazil,6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756
Mexico,6.317,0.053,6.42,6.213,9.859,0.831,68.597,0.862,-0.147,0.799
Jamaica,6.309,0.156,6.615,6.004,9.186,0.877,67.5,0.89,-0.137,0.884
Lithuania,6.255,0.045,6.344,6.167,10.499,0.935,67.906,0.773,-0.203,0.826
Cyprus,6.223,0.049,6.319,6.128,10.576,0.802,73.898,0.763,-0.015,0.844
Estonia,6.189,0.038,6.263,6.115,10.481,0.941,68.8,0.909,-0.106,0.527
Panama,6.18,0.073,6.323,6.036,10.35,0.896,69.652,0.872,-0.166,0.856
Uzbekistan,6.179,0.068,6.312,6.045,8.836,0.918,65.255,0.97,0.311,0.515
Chile,6.172,0.046,6.262,6.081,10.071,0.882,70,0.742,-0.044,0.83
Poland,6.166,0.04,6.245,6.087,10.382,0.898,69.702,0.841,-0.165,0.735
Kazakhstan,6.152,0.047,6.243,6.06,10.155,0.952,65.2,0.853,-0.069,0.733
Romania,6.14,0.057,6.253,6.027,10.284,0.832,67.355,0.845,-0.219,0.938
Kuwait,6.106,0.066,6.235,5.977,10.817,0.843,66.9,0.867,-0.104,0.736
Serbia,6.078,0.053,6.181,5.974,9.787,0.873,68.6,0.778,0.002,0.835
El Salvador,6.061,0.065,6.188,5.933,9.054,0.762,66.402,0.888,-0.11,0.688
Mauritius,6.049,0.059,6.165,5.933,10.008,0.905,66.701,0.867,-0.054,0.789
Latvia,6.032,0.036,6.103,5.961,10.315,0.927,67.1,0.715,-0.162,0.8
Colombia,6.012,0.061,6.132,5.892,9.557,0.847,68.001,0.837,-0.135,0.841
Hungary,5.992,0.047,6.085,5.899,10.358,0.943,68,0.755,-0.186,0.876
Thailand,5.985,0.047,6.077,5.893,9.805,0.888,67.401,0.884,0.287,0.895
Nicaragua,5.972,0.083,6.134,5.81,8.62,0.864,67.657,0.836,0.02,0.664
Japan,5.94,0.04,6.02,5.861,10.611,0.884,75.1,0.796,-0.258,0.638
Argentina,5.929,0.056,6.04,5.819,9.962,0.898,69,0.828,-0.182,0.834
Portugal,5.929,0.055,6.037,5.821,10.421,0.879,72.6,0.892,-0.244,0.887
Honduras,5.919,0.082,6.081,5.758,8.648,0.812,67.3,0.857,0.081,0.809
Croatia,5.882,0.048,5.975,5.788,10.217,0.924,70.799,0.754,-0.118,0.939
Philippines,5.88,0.052,5.982,5.778,9.076,0.83,62,0.917,-0.097,0.742
South Korea,5.845,0.042,5.928,5.763,10.651,0.799,73.9,0.672,-0.083,0.727
Peru,5.84,0.075,5.988,5.692,9.458,0.832,68.25,0.822,-0.154,0.891
Bosnia and Herzegovina,5.813,0.05,5.911,5.715,9.59,0.87,68.098,0.706,0.113,0.931
Moldova,5.766,0.046,5.856,5.677,9.454,0.857,65.699,0.822,-0.079,0.918
Ecuador,5.764,0.057,5.875,5.653,9.313,0.821,68.8,0.842,-0.124,0.843
Kyrgyzstan,5.744,0.046,5.834,5.653,8.538,0.893,64.401,0.935,0.119,0.908
Greece,5.723,0.046,5.813,5.632,10.279,0.823,72.6,0.582,-0.288,0.823
Bolivia,5.716,0.053,5.819,5.613,9.046,0.81,63.901,0.875,-0.077,0.839
Mongolia,5.677,0.042,5.76,5.595,9.4,0.935,62.5,0.708,0.116,0.856
Paraguay,5.653,0.092,5.832,5.473,9.448,0.893,65.9,0.876,0.028,0.882
Montenegro,5.581,0.054,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812
Dominican Republic,5.545,0.071,5.685,5.405,9.802,0.853,66.102,0.86,-0.133,0.714
North Cyprus,5.536,0.051,5.636,5.435,10.576,0.82,73.898,0.795,0.012,0.626
Belarus,5.534,0.047,5.625,5.442,9.853,0.91,66.253,0.65,-0.18,0.627
Russia,5.477,0.033,5.541,5.413,10.189,0.903,64.703,0.718,-0.111,0.845
Hong Kong S.A.R. of China,5.477,0.049,5.573,5.38,11,0.836,76.82,0.717,0.067,0.403
Tajikistan,5.466,0.034,5.532,5.4,8.091,0.86,64.281,0.832,-0.056,0.553
Vietnam,5.411,0.039,5.488,5.334,8.973,0.85,68.034,0.94,-0.098,0.796
Libya,5.41,0.076,5.558,5.262,9.622,0.827,62.3,0.771,-0.087,0.667
Malaysia,5.384,0.049,5.48,5.289,10.238,0.817,67.102,0.895,0.125,0.839
Indonesia,5.345,0.056,5.454,5.235,9.365,0.811,62.236,0.873,0.542,0.867
Congo (Brazzaville),5.342,0.097,5.533,5.151,8.117,0.636,58.221,0.695,-0.068,0.745
China,5.339,0.029,5.397,5.281,9.673,0.811,69.593,0.904,-0.146,0.755
Ivory Coast,5.306,0.078,5.46,5.152,8.551,0.644,50.114,0.741,-0.016,0.794
Armenia,5.283,0.058,5.397,5.168,9.487,0.799,67.055,0.825,-0.168,0.629
Nepal,5.269,0.07,5.406,5.132,8.12,0.774,64.233,0.782,0.152,0.727
Bulgaria,5.266,0.054,5.371,5.16,10.016,0.931,67,0.788,-0.096,0.932
Maldives,5.198,0.072,5.339,5.057,9.826,0.913,70.6,0.854,0.024,0.825
Azerbaijan,5.171,0.04,5.25,5.091,9.569,0.836,65.656,0.814,-0.223,0.506
Cameroon,5.142,0.074,5.288,4.996,8.189,0.71,53.515,0.731,0.026,0.848
Senegal,5.132,0.068,5.266,4.998,8.118,0.71,59.802,0.695,-0.046,0.801
Albania,5.117,0.059,5.234,5.001,9.52,0.697,68.999,0.785,-0.03,0.901
North Macedonia,5.101,0.051,5.202,5.001,9.693,0.805,65.474,0.751,0.038,0.905
Ghana,5.088,0.067,5.219,4.958,8.58,0.727,57.586,0.807,0.123,0.848
Niger,5.074,0.102,5.273,4.875,7.098,0.641,53.78,0.806,0.018,0.693
Turkmenistan,5.066,0.036,5.136,4.996,9.629,0.983,62.409,0.877,0.273,0.888
Gambia,5.051,0.089,5.225,4.877,7.686,0.69,55.16,0.697,0.424,0.746
Benin,5.045,0.073,5.189,4.901,8.087,0.489,54.713,0.757,-0.034,0.661
Laos,5.03,0.045,5.119,4.941,8.947,0.728,58.968,0.91,0.123,0.658
Bangladesh,5.025,0.046,5.115,4.934,8.454,0.693,64.8,0.877,-0.041,0.682
Guinea,4.984,0.09,5.16,4.808,7.838,0.639,55.008,0.697,0.095,0.766
South Africa,4.956,0.06,5.074,4.839,9.403,0.86,56.904,0.749,-0.067,0.86
Turkey,4.948,0.046,5.038,4.857,10.24,0.822,67.199,0.576,-0.139,0.776
Pakistan,4.934,0.068,5.066,4.802,8.458,0.651,58.709,0.726,0.098,0.787
Morocco,4.918,0.06,5.036,4.8,8.903,0.56,66.208,0.774,-0.236,0.801
Venezuela,4.892,0.064,5.017,4.767,9.073,0.861,66.7,0.615,-0.169,0.827
Georgia,4.891,0.054,4.998,4.785,9.585,0.671,64.3,0.783,-0.238,0.655
Algeria,4.887,0.053,4.991,4.783,9.342,0.802,66.005,0.48,-0.067,0.752
Ukraine,4.875,0.052,4.977,4.773,9.436,0.888,64.902,0.724,-0.011,0.924
Iraq,4.854,0.059,4.97,4.738,9.24,0.746,60.583,0.63,-0.053,0.875
Gabon,4.852,0.075,4.998,4.706,9.603,0.776,59.962,0.731,-0.2,0.84
Burkina Faso,4.834,0.081,4.993,4.675,7.678,0.672,54.151,0.695,-0.009,0.748
Cambodia,4.83,0.067,4.963,4.698,8.36,0.765,62,0.959,0.034,0.843
Mozambique,4.794,0.103,4.997,4.592,7.158,0.744,54.706,0.882,0.061,0.684
Nigeria,4.759,0.052,4.861,4.658,8.533,0.74,50.102,0.737,0.037,0.878
Mali,4.723,0.082,4.884,4.563,7.744,0.724,51.969,0.697,-0.036,0.827
Iran,4.721,0.055,4.828,4.614,9.584,0.71,66.3,0.608,0.218,0.714
Uganda,4.636,0.073,4.78,4.493,7.677,0.781,56.101,0.709,0.122,0.855
Liberia,4.625,0.106,4.833,4.417,7.288,0.72,56.498,0.735,0.05,0.85
Kenya,4.607,0.072,4.747,4.466,8.361,0.688,60.704,0.779,0.287,0.825
Tunisia,4.596,0.058,4.709,4.484,9.266,0.691,67.201,0.656,-0.201,0.87
Lebanon,4.584,0.055,4.691,4.477,9.626,0.848,67.355,0.525,-0.073,0.898
Namibia,4.574,0.064,4.7,4.448,9.161,0.818,56.799,0.719,-0.149,0.847
Palestinian Territories,4.517,0.067,4.649,4.384,8.485,0.826,62.25,0.653,-0.163,0.821
Myanmar,4.426,0.052,4.527,4.324,8.541,0.779,59.302,0.876,0.509,0.66
Jordan,4.395,0.062,4.516,4.273,9.182,0.767,67,0.755,-0.167,0.705
Chad,4.355,0.094,4.54,4.171,7.364,0.619,48.478,0.579,0.041,0.807
Sri Lanka,4.325,0.066,4.454,4.196,9.47,0.827,67.299,0.841,0.079,0.863
Swaziland,4.308,0.071,4.448,4.168,9.065,0.77,50.833,0.647,-0.185,0.708
Comoros,4.289,0.084,4.454,4.123,8.031,0.626,57.349,0.548,0.082,0.781
Egypt,4.283,0.045,4.371,4.195,9.367,0.75,61.998,0.749,-0.182,0.795
Ethiopia,4.275,0.051,4.374,4.175,7.694,0.764,59,0.752,0.082,0.761
Mauritania,4.227,0.07,4.365,4.09,8.542,0.795,57.161,0.561,-0.106,0.731
Madagascar,4.208,0.072,4.349,4.068,7.396,0.686,59.305,0.552,-0.005,0.803
Togo,4.107,0.077,4.258,3.956,7.362,0.569,54.914,0.619,0.032,0.772
Zambia,4.073,0.069,4.209,3.938,8.145,0.708,55.809,0.782,0.061,0.823
Sierra Leone,3.849,0.077,4.001,3.698,7.434,0.63,51.651,0.717,0.084,0.866
India,3.819,0.026,3.869,3.769,8.755,0.603,60.633,0.893,0.089,0.774
Burundi,3.775,0.107,3.985,3.565,6.635,0.49,53.4,0.626,-0.024,0.607
Yemen,3.658,0.07,3.794,3.521,7.578,0.832,57.122,0.602,-0.147,0.8
Tanzania,3.623,0.071,3.762,3.485,7.876,0.702,57.999,0.833,0.183,0.577
Haiti,3.615,0.173,3.953,3.276,7.477,0.54,55.7,0.593,0.422,0.721
Malawi,3.6,0.092,3.781,3.419,6.958,0.537,57.948,0.78,0.038,0.729
Lesotho,3.512,0.12,3.748,3.276,7.926,0.787,48.7,0.715,-0.131,0.915
Botswana,3.467,0.074,3.611,3.322,9.782,0.784,59.269,0.824,-0.246,0.801
Rwanda,3.415,0.068,3.548,3.282,7.676,0.552,61.4,0.897,0.061,0.167
Zimbabwe,3.145,0.058,3.259,3.03,7.943,0.75,56.201,0.677,-0.047,0.821
Afghanistan,2.523,0.038,2.596,2.449,7.695,0.463,52.493,0.382,-0.102,0.924
